station_id,station_number,station_display_name,timestamp,latitude,longitude,available_bikes,station_capacity,available_racks,is_stockout,hour,day_of_week,is_weekend,air_quality_pm10,air_quality_pm25,air_quality_o3,air_quality_no2,air_quality_co,air_quality_so2,air_quality_data_time,air_source,temperature,humidity,precipitation,wind_speed,is_raining,weather_severity,weather_timestamp,weather_source
ST-985,3502,중곡역 1번출구,2025-11-25 15:19:27.953038,37.56565857,127.08429718,19,18,-1,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-986,3503,광진유진스웰,2025-11-25 15:19:27.953038,37.55048752,127.10895538,0,14,14,1,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-987,3504,원일교회,2025-11-25 15:19:27.953038,37.53805161,127.07659912,20,8,-12,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-988,3505,신양초교앞 교차로,2025-11-25 15:19:27.953038,37.5352211,127.06839752,4,12,8,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-1191,3506,영동대교 북단,2025-11-25 15:19:27.953038,37.53701401,127.06109619,4,10,6,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-1192,3507,어린이회관,2025-11-25 15:19:27.953038,37.54595184,127.07800293,35,31,-4,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-1193,3508,화양사거리,2025-11-25 15:19:27.953038,37.54822159,127.06787872,16,7,-9,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-1194,3509,세종사이버대학교,2025-11-25 15:19:27.953038,37.55341721,127.07319641,20,20,0,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-1427,3510,중곡SK아파트앞,2025-11-25 15:19:27.953038,37.56864929,127.08625031,12,10,-2,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
ST-1271,3516,구의아리수정수센터앞,2025-11-25 15:19:27.953038,37.54384232,127.09329987,6,15,9,0,15,1,0,73.0,62.0,0.034,,,,2025-11-25 15:00,광진구,7.9,70.0,0.0,2.6,0,0,,KMA_UltraSrtNcst
